Order,8- or 10-Digit HS Code,brief_description,Sector,Subsector,Stage,mfn_text,Unit of Quantity
738,71101100,"Platinum, unwrought or in powder form",Energy,Platinum Group Metals,Input,Free,CGM
739,71101900,"Platinum, in semimanufactured forms",Energy,Platinum Group Metals,Input,Free,CGM
740,71102100,"Palladium, unwrought or in powder form",Energy,Platinum Group Metals,Input,Free,CGM
741,71102900,"Palladium, in semimanufactured forms",Energy,Platinum Group Metals,Input,Free,CGM
742,71103100,"Rhodium, unwrought or in powder form",Energy,Platinum Group Metals,Input,Free,CGM
743,71103900,"Rhodium, in semimanufactured forms",Energy,Platinum Group Metals,Input,Free,CGM
744,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Energy,Platinum Group Metals,Input,Free,NA
745,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Energy,Platinum Group Metals,Input,Free,NA
746,71151000,Platinum catalysts in the form of wire cloth or grill,Energy,Platinum Group Metals,Input,4%,GM
747,85414200,"Photovoltaic cells, not assembled in modules or made up into panels",Energy,Solar,Final,Free,NO
748,85414300,Photovoltaic cells assembled in modules or made up into panels,Energy,Solar,Final,Free,NO
749,85414910,"Other photosensitive semiconductor diodes, other than light-emitting",Energy,Solar,Final,Free,NO
750,25051010,"Natural silica and quartz sands, containing by weight 95% or more of silica and not more than 0.6% of oxide of iron",Energy,Solar,Input,Free,T
751,25061000,Quartz (other than natural sands),Energy,Solar,Input,Free,T
752,25191000,Natural magnesium carbonate (magnesite),Energy,Solar,Input,Free,T
753,25292100,"Fluorspar, containing by weight 97 percent or less of calcium fluoride",Energy,Solar,Input,Free,T
754,25292200,"Fluorspar, containing by weight more than 97 percent of calcium fluoride",Energy,Solar,Input,Free,T
755,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Energy,Solar,Input,Free,KG
756,26080000,Zinc ores and concentrates,Energy,Solar,Input,Free,NA
757,26090000,Tin ores and concentrates,Energy,Solar,Input,Free,T
758,26100000,Chromium ores and concentrates,Energy,Solar,Input,Free,T
759,28046100,Silicon containing by weight not less than 99.99 percent of silicon,Energy,Solar,Input,Free,KG
760,28046910,"Silicon, containing by weight less than 99.99 percent but not less than 99 percent of silicon",Energy,Solar,Input,5.30%,KG
761,28061000,Hydrogen chloride (Hydrochloric acid),Energy,Solar,Input,Free,T
762,38180000,"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",Energy,Solar,Input,Free,KG
763,39011010,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms",Energy,Solar,Input,6.50%,KG
764,39011050,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",Energy,Solar,Input,6.50%,KG
765,39012010,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",Energy,Solar,Input,6.50%,KG
766,39012050,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",Energy,Solar,Input,6.50%,KG
767,39013020,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers",Energy,Solar,Input,Free,KG
768,39013060,"Ethylene-vinyl acetate copolymers, nesoi",Energy,Solar,Input,5.30%,KG
769,39079950,"Other polyesters nesoi, saturated, in primary forms",Energy,Solar,Input,6.50%,KG
770,39191010,"Self-adhesive plates, sheets, other flat shapes, of plastics, in rolls n/o 20 cm wide, light-reflecting surface produced by glass grains",Energy,Solar,Input,6.50%,NA
771,39191020,"Self-adhesive plates, sheets, other flat shapes, of plastics, in rolls n/o 20 cm wide, not having a light-reflecting glass grain surface",Energy,Solar,Input,5.80%,M2
772,39199010,"Self-adhesive plates, sheets, other flat shapes, of plastics, light-reflecting surface produced by glass grains, nesoi",Energy,Solar,Input,6.50%,KG
773,39199050,"Self-adhesive plates, sheets, other flat shapes, of plastics, not having a light-reflecting surface produced by glass grains, nesoi",Energy,Solar,Input,5.80%,M2
774,39201000,"Nonadhesive plates, sheets, film, foil and strip, noncellular, not reinforced or combined with other materials, of polymers of ethylene",Energy,Solar,Input,4.20%,KG
775,39209920,"Nonadhesive film, strips and sheets, noncellular, not combined with other materials, of plastics nesoi, flexible",Energy,Solar,Input,4.20%,KG
776,39211100,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of styrene",Energy,Solar,Input,5.30%,KG
777,39211211,"Nonadhesive plates, sheets, film, foil, strip, cellular, of polymers of vinyl chloride, with man-made textile fibers, over 70% plastics",Energy,Solar,Input,4.20%,M2
778,39211215,"Nonadhesive plates, sheets, film, foil, strip, cellular, of polymers of vinyl chloride, with man-made textile fibers, n/o 70% plastics",Energy,Solar,Input,6.50%,M2
779,39211219,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of vinyl chloride, combined with textile materials, nesoi",Energy,Solar,Input,5.30%,M2
780,39211250,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of vinyl chloride, not combined with textile materials",Energy,Solar,Input,6.50%,KG
781,39211311,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, with man-made textile fibers, over 70% plastics",Energy,Solar,Input,4.20%,M2
782,39211315,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, with man-made textile fibers, not over 70 percent plastics",Energy,Solar,Input,6.50%,M2
783,39211319,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, combined with textile materials nesoi",Energy,Solar,Input,5.30%,M2
784,39211350,"Nonadhesive plates, sheets, film, foil and strip, cellular,of polyurethanes, not combined with textile materials, nesoi",Energy,Solar,Input,4.20%,KG
785,39211400,"Nonadhesive plates, sheets, film, foil and strip, cellular, of regenerated cellulose",Energy,Solar,Input,6.50%,KG
786,39211900,"Nonadhesive plates, sheets, film, foil and strip, cellular, of plastics nesoi",Energy,Solar,Input,6.50%,KG
787,39219011,"Nonadhesive plates, sheets, film, foil, strip, of noncellular plastics combined with man-made fibers, n/o 1.492 kg/sq m, over 70% plastics",Energy,Solar,Input,4.20%,M2
788,39219015,"Nonadhesive plates, sheets, film, foil, strip, of noncellular plastics combined with man-made fibers, n/o 1.492 kg/sq m, n/o 70% plastics",Energy,Solar,Input,6.50%,M2
789,39219019,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with textile materials, nesoi, not over 1.492 kg/sq m",Energy,Solar,Input,5.30%,M2
790,39219021,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with cotton, over 1.492 kg/sq m",Energy,Solar,Input,6.50%,M2
791,39219025,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with man-made fibers, over 1.492 kg/sq m",Energy,Solar,Input,6.50%,M2
792,39219029,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with textile materials, nesoi, over 1.492 kg/sq m",Energy,Solar,Input,4.40%,KG
793,39219040,"Nonadhesive plates, sheets, film, foil and strip, flexible, nesoi, of noncellular plastics",Energy,Solar,Input,4.20%,KG
794,39219050,"Nonadhesive plates, sheets, film, foil and strip, nonflexible, nesoi, of noncellular plastics",Energy,Solar,Input,4.80%,M2
795,44012100,Coniferous wood in chips or particles,Energy,Solar,Input,Free,CTN
796,44012200,Nonconiferous wood in chips or particles,Energy,Solar,Input,Free,CTN
797,44029001,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated, other than of bamboo or shell or nut",Energy,Solar,Input,Free,T
798,70071900,"Toughened (tempered) safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",Energy,Solar,Input,5%,M2
799,70072900,"Laminated safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",Energy,Solar,Input,4.90%,M2
800,72022110,Ferrosilicon containing by weight more than 55% but not more than 80% of silicon and more than 3% of calcium,Energy,Solar,Input,1.10%,KG
801,72022150,"Ferrosilicon containing by weight more than 55% but not more than 80% of silicon, nesoi",Energy,Solar,Input,1.50%,KG
802,72022175,Ferrosilicon containing by weight more than 80% but not more than 90% of silicon,Energy,Solar,Input,1.90%,KG
803,72022190,Ferrosilicon containing by weight more than 90% of silicon,Energy,Solar,Input,5.80%,KG
804,76071130,"Aluminum, foil, w/thickness n/o 0.01 mm, rolled but not further worked, not backed",Energy,Solar,Input,5.80%,KG
805,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Energy,Solar,Input,1.50%,KG
806,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Energy,Solar,Input,1.50%,KG
807,79012000,"Zinc alloy, unwrought",Energy,Solar,Input,3%,KG
808,79020000,"Zinc, waste and scrap",Energy,Solar,Input,Free,KG
809,79031000,"Zinc, dust",Energy,Solar,Input,0.7 cents/kg,KG
810,79039030,"Zinc, powders",Energy,Solar,Input,0.5 cents/kg,KG
811,79039060,"Zinc, flakes",Energy,Solar,Input,3%,KG
812,79040000,"Zinc, bars, rods, profiles and wire",Energy,Solar,Input,4.20%,KG
813,81041100,"Magnesium, unwrought, containing at least 99.8 percent by weight of magnesium",Energy,Solar,Input,8%,KG
814,81041900,"Magnesium, unwrought, nesoi",Energy,Solar,Input,6.50%,KG
815,81042000,"Magnesium, waste and scrap",Energy,Solar,Input,Free,KG
816,81110030,"Manganese, waste and scrap",Energy,Solar,Input,Free,KG
817,81122100,"Chromium, unwrought; chromium powders",Energy,Solar,Input,3%,KG
818,81122200,Chromium waste and scrap,Energy,Solar,Input,Free,KG
819,81129260,"Germanium, unwrought",Energy,Solar,Input,2.60%,KG
820,85013120,"DC motors nesoi, of an output exceeding 37.5 W but not exceeding 74.6 W",Energy,Solar,Input,2.80%,NO
821,85013140,"DC motors, nesoi, of an output exceeding 74.6 W but not exceeding 735 W",Energy,Solar,Input,4%,NO
822,85013150,"DC motors, nesoi, of an output exceeding 735 W but under 746 W",Energy,Solar,Input,3.30%,NO
823,85013160,"DC motors nesoi, of an output of 746 W but not exceeding 750 W",Energy,Solar,Input,2.40%,NO
824,85013181,"DC generators, other than photovoltaic generators, of an output not exceeding 750 W",Energy,Solar,Input,2.50%,NO
825,85013220,"DC motors nesoi, of an output exceeding 750 W but not exceeding 14.92 kW",Energy,Solar,Input,2.90%,NO
826,85013245,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW, used as primary source of mechanical power for electric vehicles",Energy,Solar,Input,Free,NO
827,85013255,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW, nesoi",Energy,Solar,Input,Free,NO
828,85013261,"DC generators, other than photovoltaic generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Solar,Input,2%,NO
829,85017100,"Photovoltaic DC generators, of an output not exceeding 50 W",Energy,Solar,Input,2.50%,NO
830,85017210,"Photovoltaic DC generators, of an output exceeding 50 W but not exceeding 750 W",Energy,Solar,Input,2.50%,NO
831,85017220,"Photovoltaic DC generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Solar,Input,2%,NO
832,87082200,"Pts. & access. of bodies for mtr. vehicles of headings 8701 to 8705, front windshields, rear windows and other mtr. vehicle windows",Energy,Solar,Input,4.90%,M2
833,28045000,Boron; tellurium,Energy,Solar,Input,Free,KG
834,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Energy,Solar,Input,3%,KG
835,26011100,"Iron ores and concentrates (other than roasted iron pyrites), not agglomerated",Energy,Wind,Input,Free,T
836,26011200,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated",Energy,Wind,Input,Free,T
837,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Energy,Wind,Input,Free,KG
838,26030000,Copper ores and concentrates,Energy,Wind,Input,1.7 cents/kg on lead content,NA
839,26040000,Nickel ores and concentrates,Energy,Wind,Input,Free,CKG
840,26050000,Cobalt ores and concentrates,Energy,Wind,Input,Free,KG
841,26060000,Aluminum ores and concentrates,Energy,Wind,Input,Free,T
842,26080000,Zinc ores and concentrates,Energy,Wind,Input,Free,NA
843,26100000,Chromium ores and concentrates,Energy,Wind,Input,Free,T
844,26131000,"Molybdenum ores and concentrates, roasted",Energy,Wind,Input,12.8 cents/kg on molybdenum content + 1.8%,KG
845,26139000,"Molybdenum ores and concentrates, not roasted",Energy,Wind,Input,17.8 cents/kg on molybdenum content,KG
846,26140060,"Titanium ores and concentrates, other than synthetic rutile",Energy,Wind,Input,Free,KG
847,26159060,"Niobium, tantalum or vanadium ores and concentrates, nesoi",Energy,Wind,Input,Free,KG
848,38160020,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 3801, other than dolomite ramming mix",Energy,Wind,Input,3%,KG
849,38245000,Non-refractory mortars and concretes,Energy,Wind,Input,Free,T
850,39073000,Epoxide resins in primary forms,Energy,Wind,Input,6.10%,KG
851,44072200,"Okoume, Obeche, Sapelli and other specified tropical woods, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",Energy,Wind,Input,Free,M3
852,68151100,Carbon fibers,Energy,Wind,Input,Free,KG
853,70191305,"Fiberglass rubber reinforcing yarn,not color,of electrically nonconduct. continuous filament 9 to 11 microns diam & impreg for adhesion to polym.",Energy,Wind,Input,Free,KG
854,70191324,"Fiberglass rubber reinforce yarn,color,of electrically nonconduct. continuous filament 9 to 11 microns diam & impreg for adhesion to polym.",Energy,Wind,Input,Free,KG
855,70191970,"Fiberglass rubber reinforce cord,of electrically nonconduct. contin. filament 9 to 11 microns diam & impreg for adhesion to polymeric comp.",Energy,Wind,Input,Free,KG
856,70196105,"Closed woven fiberglass tire cord fabric of rovings,n/o 30 cm wide,of elect. nonconductive cont. filament 9-11 micron diam & impreg for adhesion",Energy,Wind,Input,Free,M2
857,70196130,"Closed woven fiberglass tire cord fabric of roving,o/30 cm wide,n/color, of elect. nonconduct. contin. fil. 9-11 micron diam & impreg for adhesion",Energy,Wind,Input,Free,M2
858,70196205,"Closed nonwoven fiberglass tire cord fabric of roving,n/o 30 cm wide,of electrical nonconduct. contin. filament 9-11 micron diam & impreg for adhesion",Energy,Wind,Input,Free,M2
859,70196230,"Closed nonwoven fiberglass tire cord fabric of roving, not color,o/30 cm wide,of elect nonconduct. contin. fil. 9-11 micron diam & impreg for adhesion",Energy,Wind,Input,Free,M2
860,70196305,"Closed woven glass yarn fabric, not coated/laminated, tire cord fabric, n/o 30 cm wide",Energy,Wind,Input,Free,M2
861,70196330,"Closed woven glass yarn fabric, not coated/laminated, not color, tire cord fabric, o/30 cm wide",Energy,Wind,Input,Free,M2
862,70196370,"Closed woven glass yarn fabric, not coated/laminated, tire cord fabric, colored, o/30 cm wide",Energy,Wind,Input,Free,M2
863,70196405,"Closed woven glass yarn fabric, coated/laminated, tire cord fabric, n/o 30 cm wide",Energy,Wind,Input,Free,M2
864,70196430,"Closed woven glass yarn fabric, coated/laminated, not color, tire cord fabric, o/30 cm wide",Energy,Wind,Input,Free,M2
865,70196551,"Open woven glass fabrics, n/o 30 cm wide, tire cord fabric, of electrical nonconduct. contin. filament 9-11 mirco diam & impreg for adhesion",Energy,Wind,Input,Free,M2
866,70196630,"Open woven glass fabrics, o/ 30cm wide & less than 250 g/m2, fiberglass tire cord fabric, not colored",Energy,Wind,Input,Free,M2
867,70196670,"Open woven glass fabrics, o/30 cm wide & less than 250 g/m2, fiberglass tire cord fabric, colored",Energy,Wind,Input,Free,M2
868,70196930,"Open woven glass fabrics o/30 cm wide & 250 g/m2 or more, fiberglass tire cord fabric, not colored",Energy,Wind,Input,Free,M2
869,70196970,"Open woven glass fabrics o/30 cm wide & 250 g/m2 or more, fiberglass tire cord fabric, colored",Energy,Wind,Input,Free,M2
870,70197205,"Chemically bonded closed fabric,n/o 30cm wide,fiberglass tire cord fabric,of elect nonconduct contin filament 9-11 mircons diam & impreg for adhesion",Energy,Wind,Input,Free,M2
871,70197230,"Chemically bonded closed fabric, o/30 cm wide, fiberglass tire cord fabric, not colored",Energy,Wind,Input,Free,M2
872,70197351,"Chemically bonded open fabric, fiberglass tire cord, of electrical nonconduct. contin. filament 9-11 mircons diam & impreg for adhesion",Energy,Wind,Input,Free,M2
873,71101100,"Platinum, unwrought or in powder form",Energy,Wind,Input,Free,CGM
874,71101900,"Platinum, in semimanufactured forms",Energy,Wind,Input,Free,CGM
875,71102100,"Palladium, unwrought or in powder form",Energy,Wind,Input,Free,CGM
876,71102900,"Palladium, in semimanufactured forms",Energy,Wind,Input,Free,CGM
877,71103100,"Rhodium, unwrought or in powder form",Energy,Wind,Input,Free,CGM
878,71103900,"Rhodium, in semimanufactured forms",Energy,Wind,Input,Free,CGM
879,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Energy,Wind,Input,Free,NA
880,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Energy,Wind,Input,Free,NA
881,71129201,"Platinum waste and scrap, incl. metal clad w/ platinum, excluding sweepings containing other precious metals, other than goods of e-waste heading 8549",Energy,Wind,Input,Free,GM
882,71151000,Platinum catalysts in the form of wire cloth or grill,Energy,Wind,Input,4%,GM
883,72024100,Ferrochromium containing by weight more than 4 percent of carbon,Energy,Wind,Input,1.90%,KG
884,72024910,Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,Energy,Wind,Input,1.90%,KG
885,72024950,Ferrochromium containing by weight 3 percent or less of carbon,Energy,Wind,Input,3.10%,KG
886,72261110,"Alloy silicon electrical steel (grain-oriented), width 300mm+ but less th/600mm, flat-rolled products",Energy,Wind,Input,Free,KG
887,72261190,"Alloy silicon electrical steel (grain-oriented), width less th/300mm, flat-rolled products",Energy,Wind,Input,Free,KG
888,73082000,"Iron or steel, towers and lattice masts",Energy,Wind,Input,Free,KG
889,74032200,"Copper-tin base alloys (bronze), unwrought nesoi",Energy,Wind,Input,1%,KG
890,76020000,"Aluminum, waste and scrap",Energy,Wind,Input,Free,KG
891,76051100,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension over 7 mm",Energy,Wind,Input,2.60%,KG
892,76051900,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension of 7 mm or less",Energy,Wind,Input,4.20%,KG
893,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Energy,Wind,Input,1.50%,KG
894,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Energy,Wind,Input,3%,KG
895,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Energy,Wind,Input,1.50%,KG
896,79012000,"Zinc alloy, unwrought",Energy,Wind,Input,3%,KG
897,81053000,Cobalt waste and scrap,Energy,Wind,Input,Free,KG
898,81110030,"Manganese, waste and scrap",Energy,Wind,Input,Free,KG
899,85016401,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 750 kVA",Energy,Wind,Input,2.40%,NO
900,85018090,"Photovoltaic AC generators, of an output exceeding 750 kVA",Energy,Wind,Input,2.40%,NO
901,85023100,Wind-powered electric generating sets,Energy,Wind,Input,2.50%,NO
902,85030020,Commutators suitable for use solely or principally with the machines of heading 8501 or 8502,Energy,Wind,Input,2.40%,NO
903,85030065,"Stators and rotors for electric motors & generators of heading 8501, nesoi",Energy,Wind,Input,3%,NO
904,85030095,"Other parts, nesoi, suitable for use solely or principally with the machines in heading 8501 or 8502",Energy,Wind,Input,3%,KG
905,85042100,Liquid dielectric transformers having a power handling capacity not exceeding 650 kVA,Energy,Wind,Input,Free,NO
906,85042200,"Liquid dielectric transformers having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",Energy,Wind,Input,Free,NO
907,85042300,"Liquid dielectric transformers having a power handling capacity exceeding 10,000 kVA",Energy,Wind,Input,1.60%,NO
908,85043200,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA",Energy,Wind,Input,2.40%,NO
909,85043300,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA",Energy,Wind,Input,1.60%,NO
910,85043400,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 500 kVA",Energy,Wind,Input,1.60%,NO
911,85051100,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal",Energy,Wind,Input,2.10%,NO
912,85353000,"Isolating switches and make-and-break switches, for a voltage exceeding 1,000 V",Energy,Wind,Input,2.70%,NO
913,85365070,"Certain specifed electronic and electromechanical snap-action switches, for a voltage not exceeding 1,000 V",Energy,Wind,Input,Free,NO
914,85365090,"Switches nesoi, for switching or making connections to or in electrical circuits, for a voltage not exceeding 1,000 V",Energy,Wind,Input,Free,NO
915,85369085,"Other electrical apparatus nesoi, for switching or making connections to or in electrical circuits, for a voltage not exceeding 1,000 V, nesoi",Energy,Wind,Input,Free,NA
916,84863000,Machines and apparatus for the manufacture of flat panel displays,ICT,Audiovisual Equipment,Capital good,Free,NO
917,85181080,"Microphones and stands therefor, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
918,85182100,Single loudspeakers mounted in their enclosures,ICT,Audiovisual Equipment,Final,Free,NO
919,85182200,Multiple loudspeakers mounted in the same enclosure,ICT,Audiovisual Equipment,Final,Free,NO
920,85182980,"Loudspeakers nesoi, not mounted in their enclosures, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
921,85183020,"Headphones, earphones and combined microphone/speaker sets, other than telephone handsets",ICT,Audiovisual Equipment,Final,Free,NO
922,85184020,"Audio-frequency electric amplifiers, other than for use as repeaters in line telephony",ICT,Audiovisual Equipment,Final,Free,NO
923,85185000,Electric sound amplifier sets,ICT,Audiovisual Equipment,Final,Free,NO
924,85192000,"Sound recording or reproducing apparatus operated by coins, bank notes, bank cards, tokens or other means of payment",ICT,Audiovisual Equipment,Final,Free,NO
925,85198125,"Cassette players (non-recording), nesoi",ICT,Audiovisual Equipment,Final,Free,NO
926,85198130,"Sound reproducing apparatus nesoi, not incorporating a sound recording device",ICT,Audiovisual Equipment,Final,Free,NO
927,85198141,"Other sound recording and reproducing apparatus using magnetic tape, optical media, or semiconductor media",ICT,Audiovisual Equipment,Final,Free,NO
928,85198930,"Sound recording and reproducing apparatus, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
929,85211030,"Color, cartridge or cassette magnetic tape-type video players",ICT,Audiovisual Equipment,Final,Free,NO
930,85211060,"Color, cartridge or cassette magnetic tape-type video recording and reproducing apparatus, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
931,85211090,"Magnetic tape-type video recording or reproducing apparatus, other than color, cartridge or cassette type",ICT,Audiovisual Equipment,Final,Free,NO
932,85219000,"Video recording or reproducing apparatus, other than magnetic tape-type",ICT,Audiovisual Equipment,Final,Free,NO
933,85258100,"High-speed television cameras, digital cameras and video camera recorders",ICT,Audiovisual Equipment,Final,Free,NO
934,85258200,"Other television cameras, digital cameras and video camera recorders, radiation-hardened or radiation-tolerant",ICT,Audiovisual Equipment,Final,Free,NO
935,85258300,"Other television cameras, digital cameras and video camera recorders, night vision",ICT,Audiovisual Equipment,Final,Free,NO
936,85258940,"Other digital still image video cameras, o/t high speed, radiation-hardened or radiation-tolerant or night vision",ICT,Audiovisual Equipment,Final,Free,NO
937,85258950,"Television cameras, digital cameras and video camera recorders, NESOI, o/t high speed, radiation-hardened or night vision",ICT,Audiovisual Equipment,Final,Free,NO
938,85271311,"Radio-tape player combination (other than pocket-size radio cassette type),nonrecording,capable of operating w/o an external source of power",ICT,Audiovisual Equipment,Final,Free,NO
939,85271320,"Radio-tape recorder combinations, capable of operating without an external source of power, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
940,85271340,"Radio-phonograph combinations, capable of operating without external power source, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
941,85271360,"Radiobroadcast receivers capable of operating without external power source, combined with sound recording or reproducing apparatus, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
942,85271910,"Radiobroadcast receivers, able to operate w/o external power, with clock or clock-timer, valued not over $40, not for motor vehicles",ICT,Audiovisual Equipment,Final,Free,NO
943,85271950,"Radiobroadcast receivers, capable of operation w/o external power, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
944,85272115,Radio-tape player combinations capable of receiving & decoding digital radio signals,ICT,Audiovisual Equipment,Final,Free,NO
945,85272125,Other radio-tape player combinations,ICT,Audiovisual Equipment,Final,2%,NO
946,85272140,"Radiobroadcast receivers not operable w/o external power source, for motor veh., combined with sound recording/reproducing apparatus, nesoi",ICT,Audiovisual Equipment,Final,Free,NO
947,85272940,"Radiobroadcast receivers, not operating w/o external power, for motor vehicles, w/o sound recording or reproducing apparatus, FM or AM/FM",ICT,Audiovisual Equipment,Final,Free,NO
948,85272980,"Radiobroadcast receivers, not operating w/o external power, for motor vehicles, w/o sound recording or reproducing apparatus, other",ICT,Audiovisual Equipment,Final,Free,NO
949,85284905,"Incomplete or unfinished color video monitors, presented w/o a display device, incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
950,85284910,"Incomplete or unfinished color video monitors, presented w/o a display device, not incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
951,85284915,"Non-high definition color video monitors, nonprojection type, w/CRT, video display diagonal not over 34.29 cm, incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
952,85284920,"Non-high definition color video monitors, nonprojection, w/CRT, video display diag. ov 34.29 cm but n/ov 35.56 cm, incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
953,85284925,"Non-high definition color video monitors, nonprojection type, w/CRT, video display diagonal not over 34.29 cm, not incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
954,85284930,"Non-high definition color video monitors, nonprojection, w/CRT, video display diag. ov 34.29 cm but n/ov 35.56 cm, not incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
955,85284935,"Non-high definition color video monitors, nonprojection type, w/CRT, video display diagonal over 35.56 cm, incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
956,85284940,"Non-high definition color video monitors, nonprojection type, w/CRT, video display diagonal over 35.56 cm, not incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
957,85284945,"Non-high definition color video monitors, projection type, with cathode-ray tube, incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
958,85284950,"Non-high definition color video monitors, projection type, with cathode-ray tube, not incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
959,85284960,"High definition color video monitors, nonprojection type, with cathode-ray tube, incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
960,85284965,"High definition color video monitors, nonprojection type, with cathode-ray tube, not incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
961,85284970,"High definition color video monitors, projection type, with cathode-ray tube, incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
962,85284975,"High definition color video monitors, projection type, with cathode-ray tube, not incorporating VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
963,85284980,"Black and white or other monochrome video monitors, with cathode-ray tube",ICT,Audiovisual Equipment,Final,Free,NO
964,85285905,"Incomplete or unfinished color video monitors, w/o cathode-ray tube, flat panel screen or similar display device, incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
965,85285910,"Incomplete or unfinished color video monitors, w/o cathode-ray tube, flat panel screen or similar display device, not incorp. VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
966,85285915,"Color video monitors w/flat panel screen, video display diagonal n/ov 34.29 cm, incorporate VCR or player",ICT,Audiovisual Equipment,Final,Free,NO
967,85285923,"Color video monitors w/flat panel screen, video display diagonal > 34.29 cm, incorporating VCR or player, not subject US note 13",ICT,Audiovisual Equipment,Final,3.90%,NO
